Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
1,46.02,24.72,4.0,1,2022-01-09,10010,BAR,1,1,T04
2,70.89,15.99,4.0,1,2022-01-09,10010,BAR,1,2,T04
3,60.19,33.82,4.0,1,2022-01-09,10010,BAR,1,3,T04
4,421.38,56.94,4.0,1,2022-01-09,10010,BAR,1,4,T04
5,0.0,0.0,0.0,0,2022-01-09,10010,BAR,1,5,T04
6,113.73,65.39,4.0,1,2022-01-10,10010,BAR,1,1,T04
7,137.21,37.01,5.0,1,2022-01-10,10010,BAR,1,2,T04
8,50.15,31.86,3.0,1,2022-01-10,10010,BAR,1,3,T04
9,505.69,84.81,3.0,1,2022-01-10,10010,BAR,1,4,T04
10,0.0,0.0,0.0,0,2022-01-10,10010,BAR,1,5,T04
11,63.7,29.92,4.0,1,2022-01-11,10010,BAR,1,1,T04
12,188.05,41.24,5.0,1,2022-01-11,10010,BAR,1,2,T04
13,29.66,17.04,3.0,1,2022-01-11,10010,BAR,1,3,T04
14,345.82,39.25,3.0,1,2022-01-11,10010,BAR,1,4,T04
15,0.0,0.0,0.0,0,2022-01-11,10010,BAR,1,5,T04
16,171.76,94.82,4.0,1,2022-01-12,10010,BAR,1,1,T04
17,200.02,31.49,5.0,1,2022-01-12,10010,BAR,1,2,T04
18,30.18,21.99,3.0,1,2022-01-12,10010,BAR,1,3,T04
19,340.87,48.66,4.0,1,2022-01-12,10010,BAR,1,4,T04
20,0.0,0.0,0.0,0,2022-01-12,10010,BAR,1,5,T04
21,93.44,55.58,4.0,1,2022-01-13,10010,BAR,1,1,T04
22,275.85,49.13,5.0,1,2022-01-13,10010,BAR,1,2,T04
23,61.8,23.64,3.0,1,2022-01-13,10010,BAR,1,3,T04
24,418.15,63.82,4.0,1,2022-01-13,10010,BAR,1,4,T04
25,0.0,0.0,0.0,0,2022-01-13,10010,BAR,1,5,T04
26,92.36,52.56,5.0,1,2022-01-26,10010,BAR,1,1,T04
27,192.8,38.09,5.0,1,2022-01-26,10010,BAR,1,2,T04
28,49.27,18.13,3.0,1,2022-01-26,10010,BAR,1,3,T04
29,248.44,49.07,4.0,1,2022-01-26,10010,BAR,1,4,T04
30,0.0,0.0,0.0,0,2022-01-26,10010,BAR,1,5,T04
31,109.36,50.59,5.0,1,2022-01-27,10010,BAR,1,1,T04
32,185.03,42.79,5.0,1,2022-01-27,10010,BAR,1,2,T04
33,36.07,11.33,4.0,1,2022-01-27,10010,BAR,1,3,T04
34,234.36,52.01,5.0,1,2022-01-27,10010,BAR,1,4,T04
35,0.0,0.0,0.0,0,2022-01-27,10010,BAR,1,5,T04
36,123.23,72.07,5.0,1,2022-01-28,10010,BAR,1,1,T04
37,242.38,50.32,5.0,1,2022-01-28,10010,BAR,1,2,T04
38,59.5,28.8,4.0,1,2022-01-28,10010,BAR,1,3,T04
39,365.79,69.43,5.0,1,2022-01-28,10010,BAR,1,4,T04
40,395.47,63.73,4.0,1,2022-01-28,10010,BAR,1,5,T04
41,378.25,155.79,5.0,1,2022-01-29,10010,BAR,1,1,T04
42,683.19,104.8,6.0,1,2022-01-29,10010,BAR,1,2,T04
43,150.57,29.34,4.0,1,2022-01-29,10010,BAR,1,3,T04
44,1207.97,256.14,7.0,1,2022-01-29,10010,BAR,1,4,T04
45,657.56,143.02,5.0,1,2022-01-29,10010,BAR,1,5,T04
46,291.54,128.07,5.0,1,2022-02-12,10010,BAR,1,1,T04
47,299.88,69.37,6.0,1,2022-02-12,10010,BAR,1,2,T04
48,79.72,23.38,5.0,1,2022-02-12,10010,BAR,1,3,T04
49,1259.45,218.54,7.0,1,2022-02-12,10010,BAR,1,4,T04
50,563.98,148.84,5.0,1,2022-02-12,10010,BAR,1,5,T04
51,281.42,80.26,4.0,1,2022-02-13,10010,BAR,1,1,T04
52,364.56,107.28,5.0,1,2022-02-13,10010,BAR,1,2,T04
53,144.15,38.12,5.0,1,2022-02-13,10010,BAR,1,3,T04
54,800.79,180.8,6.0,1,2022-02-13,10010,BAR,1,4,T04
55,0.0,0.0,0.0,0,2022-02-13,10010,BAR,1,5,T04
56,106.91,75.48,5.0,1,2022-02-14,10010,BAR,1,1,T04
57,308.44,110.39,3.0,1,2022-02-14,10010,BAR,1,2,T04
58,20.0,12.83,4.0,1,2022-02-14,10010,BAR,1,3,T04
59,654.03,91.61,6.0,1,2022-02-14,10010,BAR,1,4,T04
60,0.0,0.0,0.0,0,2022-02-14,10010,BAR,1,5,T04
61,0.0,0.0,0.0,0,2022-02-15,10010,BAR,1,1,T04
62,0.0,0.0,0.0,0,2022-02-15,10010,BAR,1,2,T04
63,0.0,0.0,0.0,0,2022-02-15,10010,BAR,1,3,T04
64,0.0,0.0,0.0,0,2022-02-15,10010,BAR,1,4,T04
65,0.0,0.0,0.0,0,2022-02-15,10010,BAR,1,5,T04
66,120.36,60.82,4.0,1,2022-03-01,10010,BAR,1,1,T04
67,253.84,60.74,4.0,1,2022-03-01,10010,BAR,1,2,T04
68,146.72,65.41,3.0,1,2022-03-01,10010,BAR,1,3,T04
69,266.88,53.53,4.0,1,2022-03-01,10010,BAR,1,4,T04
70,0.0,0.0,0.0,0,2022-03-01,10010,BAR,1,5,T04
71,211.9,104.37,5.0,1,2022-03-02,10010,BAR,1,1,T04
72,394.05,69.88,5.0,1,2022-03-02,10010,BAR,1,2,T04
73,54.53,27.72,3.0,1,2022-03-02,10010,BAR,1,3,T04
74,293.22,91.89,4.0,1,2022-03-02,10010,BAR,1,4,T04
75,0.0,0.0,0.0,0,2022-03-02,10010,BAR,1,5,T04
76,125.69,84.97,4.0,1,2022-03-03,10010,BAR,1,1,T04
77,374.78,60.92,4.0,1,2022-03-03,10010,BAR,1,2,T04
78,29.97,13.89,4.0,1,2022-03-03,10010,BAR,1,3,T04
79,273.36,41.97,4.0,1,2022-03-03,10010,BAR,1,4,T04
80,0.0,0.0,0.0,0,2022-03-03,10010,BAR,1,5,T04
81,83.26,50.86,5.0,1,2022-03-04,10010,BAR,1,1,T04
82,194.25,58.69,5.0,1,2022-03-04,10010,BAR,1,2,T04
83,57.37,20.26,4.0,1,2022-03-04,10010,BAR,1,3,T04
