id,zip,country,lat,lon,date,temp,humidity,precipitation
1,10010,XX,42.9731,14.5021,2021-01-01,6.38,8.44,0.87
2,10010,XX,42.9731,14.5021,2021-01-02,7.96,10.28,1.21
3,10010,XX,42.9731,14.5021,2021-01-03,7.94,11.05,2.62
4,10010,XX,42.9731,14.5021,2021-01-04,6.28,9.09,0.0
5,10010,XX,42.9731,14.5021,2021-01-05,5.15,7.01,2.24
6,10010,XX,42.9731,14.5021,2021-01-06,5.67,7.37,0.56
7,10010,XX,42.9731,14.5021,2021-01-07,4.83,6.7,0.0
8,10010,XX,42.9731,14.5021,2021-01-08,2.69,4.01,5.91
9,10010,XX,42.9731,14.5021,2021-01-09,3.29,4.03,5.15
10,10010,XX,42.9731,14.5021,2021-01-10,3.12,3.7,4.89
11,10010,XX,42.9731,14.5021,2021-01-11,2.21,3.09,1.36
12,10010,XX,42.9731,14.5021,2021-01-12,2.5,4.33,0.0
13,10010,XX,42.9731,14.5021,2021-01-13,3.31,7.09,0.0
14,10010,XX,42.9731,14.5021,2021-01-14,5.84,9.01,0.0
15,10010,XX,42.9731,14.5021,2021-01-15,4.38,6.54,0.0
16,10010,XX,42.9731,14.5021,2021-01-16,2.22,4.86,0.0
17,10010,XX,42.9731,14.5021,2021-01-17,2.85,5.1,1.05
18,10010,XX,42.9731,14.5021,2021-01-18,3.78,6.32,0.0
19,10010,XX,42.9731,14.5021,2021-01-19,5.26,10.04,0.0
20,10010,XX,42.9731,14.5021,2021-01-20,6.64,12.29,0.0
21,10010,XX,42.9731,14.5021,2021-01-21,9.0,12.0,0.0
22,10010,XX,42.9731,14.5021,2021-01-22,11.79,14.63,1.0
23,10010,XX,42.9731,14.5021,2021-01-23,10.64,12.14,0.37
24,10010,XX,42.9731,14.5021,2021-01-24,7.92,11.74,2.17
25,10010,XX,42.9731,14.5021,2021-01-25,5.08,7.36,4.11
26,10010,XX,42.9731,14.5021,2021-01-26,4.16,6.76,0.0
27,10010,XX,42.9731,14.5021,2021-01-27,3.65,6.98,0.0
28,10010,XX,42.9731,14.5021,2021-01-28,6.17,10.67,0.25
29,10010,XX,42.9731,14.5021,2021-01-29,8.68,13.68,0.0
30,10010,XX,42.9731,14.5021,2021-01-30,9.43,15.57,2.59
31,10010,XX,42.9731,14.5021,2021-01-31,8.26,10.89,6.1
32,10010,XX,42.9731,14.5021,2021-02-01,7.84,10.05,1.36
33,10010,XX,42.9731,14.5021,2021-02-02,7.61,9.47,0.0
34,10010,XX,42.9731,14.5021,2021-02-03,10.59,15.32,0.0
35,10010,XX,42.9731,14.5021,2021-02-04,11.48,14.97,0.0
36,10010,XX,42.9731,14.5021,2021-02-05,9.39,11.52,0.0
37,10010,XX,42.9731,14.5021,2021-02-06,8.71,10.46,0.0
38,10010,XX,42.9731,14.5021,2021-02-07,11.63,15.0,0.1
39,10010,XX,42.9731,14.5021,2021-02-08,9.98,12.43,0.0
40,10010,XX,42.9731,14.5021,2021-02-09,12.37,13.73,0.0
41,10010,XX,42.9731,14.5021,2021-02-10,12.36,16.36,0.73
42,10010,XX,42.9731,14.5021,2021-02-11,7.28,10.25,0.0
43,10010,XX,42.9731,14.5021,2021-02-12,2.86,4.59,1.81
44,10010,XX,42.9731,14.5021,2021-02-13,0.44,2.3,1.53
45,10010,XX,42.9731,14.5021,2021-02-14,0.91,2.56,0.6
46,10010,XX,42.9731,14.5021,2021-02-15,1.51,4.43,0.0
47,10010,XX,42.9731,14.5021,2021-02-16,4.94,9.3,0.0
48,10010,XX,42.9731,14.5021,2021-02-17,7.95,11.98,0.0
49,10010,XX,42.9731,14.5021,2021-02-18,8.61,12.94,0.0
50,10010,XX,42.9731,14.5021,2021-02-19,10.04,13.62,0.0
51,10010,XX,42.9731,14.5021,2021-02-20,11.26,14.7,0.0
52,10010,XX,42.9731,14.5021,2021-02-21,8.5,11.72,0.0
53,10010,XX,42.9731,14.5021,2021-02-22,8.91,12.15,0.0
54,10010,XX,42.9731,14.5021,2021-02-23,9.45,12.23,0.0
55,10010,XX,42.9731,14.5021,2021-02-24,10.98,15.63,0.0
56,10010,XX,42.9731,14.5021,2021-02-25,11.87,16.21,0.0
57,10010,XX,42.9731,14.5021,2021-02-26,11.56,15.98,0.0
58,10010,XX,42.9731,14.5021,2021-02-27,10.38,14.51,0.0
59,10010,XX,42.9731,14.5021,2021-02-28,6.99,11.13,0.0
60,10010,XX,42.9731,14.5021,2021-03-01,6.23,10.49,0.0
61,10010,XX,42.9731,14.5021,2021-03-02,7.73,12.02,0.0
62,10010,XX,42.9731,14.5021,2021-03-03,8.0,13.04,0.0
63,10010,XX,42.9731,14.5021,2021-03-04,10.68,16.07,0.0
64,10010,XX,42.9731,14.5021,2021-03-05,11.14,14.47,0.0
65,10010,XX,42.9731,14.5021,2021-03-06,5.55,9.16,3.4
66,10010,XX,42.9731,14.5021,2021-03-07,4.98,9.18,0.0
67,10010,XX,42.9731,14.5021,2021-03-08,6.14,8.62,0.12
68,10010,XX,42.9731,14.5021,2021-03-09,6.45,7.54,9.17
69,10010,XX,42.9731,14.5021,2021-03-10,6.15,9.19,0.0
70,10010,XX,42.9731,14.5021,2021-03-11,8.41,14.47,0.0
71,10010,XX,42.9731,14.5021,2021-03-12,12.77,14.99,0.0
72,10010,XX,42.9731,14.5021,2021-03-13,12.98,17.14,0.0
