chart_date,country,top_200_streams,top_10_streams,top_50_streams,top_10_stream_share,top_50_stream_share
2026-06-23,IT,16543922,2350920,7298674,0.142101734,0.441169512
2026-06-08,IT,16628316,2505560,7499587,0.150680321,0.451013019
2026-06-28,IT,15454121,2225082,6805435,0.143979848,0.440363771
2026-06-03,IT,16480126,2424953,7283169,0.147144081,0.441936488
2026-07-06,IT,15679163,2092501,6739749,0.133457443,0.429853877
2026-07-07,IT,16260083,2185656,7040328,0.134418502,0.432982292
2026-07-01,IT,15921927,2160872,6856993,0.135716738,0.430663512
2026-06-22,IT,15947519,2263653,6941030,0.141943897,0.435241996
2026-06-04,IT,17261465,2707985,7784580,0.156880369,0.450980262
2026-07-14,IT,15823660,2035953,6724070,0.128665113,0.42493772
2026-07-09,IT,16671143,2230967,7114508,0.133822078,0.426755862
2026-07-18,IT,17846360,2317957,7959721,0.129884021,0.446013697
2026-06-06,IT,18631126,2926111,8556315,0.157054973,0.45924841
2026-06-07,IT,15770291,2405689,7179498,0.152545632,0.45525463
2026-06-21,IT,15894864,2279437,6984810,0.143407141,0.439438173
2026-07-12,IT,15616374,2065565,6678071,0.132269181,0.427632625
2026-07-15,IT,15639984,1988267,6657534,0.127127176,0.425673965
2026-06-01,IT,16702393,2455490,7369027,0.147014263,0.441195881
2026-06-11,IT,16994670,2477613,7606587,0.14578765,0.447586626
2026-06-13,IT,18293963,2658019,8083887,0.145294871,0.441888234
2026-07-08,IT,16478896,2184895,7063313,0.132587462,0.428627804
2026-06-30,IT,16291992,2294432,7091183,0.140831888,0.435255738
2026-06-14,IT,15711202,2272548,6906353,0.144645076,0.439581453
2026-06-27,IT,17958351,2595531,7927346,0.144530586,0.441429505
2026-06-20,IT,18302294,2630727,8073960,0.143737556,0.4411447
2026-06-17,IT,16636752,2400188,7238499,0.144270228,0.435090876
2026-07-17,IT,17752811,2274324,7781974,0.128110641,0.43835165
2026-06-09,IT,17145375,2538337,7706583,0.148047914,0.449484657
2026-07-02,IT,16504141,2202768,7065192,0.133467595,0.428086018
2026-06-29,IT,15628375,2214965,6795234,0.141727147,0.434801059
2026-06-02,IT,15387190,2261082,6789142,0.146945739,0.441220392
2026-06-15,IT,15994718,2283608,6949512,0.142772633,0.434487935
2026-06-16,IT,16442230,2351045,7147237,0.142988208,0.434687813
2026-06-26,IT,18046650,2545232,7864575,0.141036259,0.435791407
2026-06-19,IT,19044668,2686851,8324193,0.141081535,0.437087851
2026-07-04,IT,17587344,2442714,7735280,0.138890443,0.439820817
2026-07-16,IT,16390816,2083188,7009159,0.127094832,0.427627215
2026-07-10,IT,19858601,2808863,9178954,0.141443146,0.462215541
2026-07-11,IT,18102534,2400775,7812072,0.132620936,0.431545771
2026-06-12,IT,18861687,2656972,8288947,0.140866085,0.439459471
2026-06-24,IT,16448125,2324977,7185434,0.141352099,0.436854292
2026-06-18,IT,16740817,2439207,7346469,0.145704179,0.438835751
2026-07-03,IT,17874656,2467836,7777240,0.138063412,0.435098723
2026-07-13,IT,15840724,2064207,6763072,0.130310142,0.426942102
2026-06-05,IT,19191644,3211786,8815395,0.167353354,0.459335063
2026-07-05,IT,15620460,2110429,6780841,0.135106713,0.434099956
