chart_date,country,chart_rows,matched_tracks,match_rate,duplicate_tracks,missing_streams,spotify_requests,spotify_retries,spotify_429_responses,pipeline_status
2026-06-23,IT,200,200,1,0,0,0,0,0,fresh
2026-06-06,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-17,IT,200,200,1,0,0,0,0,0,fresh
2026-07-05,IT,200,200,1,0,0,0,0,0,fresh
2026-07-10,IT,200,200,1,0,0,0,0,0,fresh
2026-06-07,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-29,IT,200,200,1,0,0,0,0,0,fresh
2026-07-12,IT,200,200,1,0,0,0,0,0,fresh
2026-06-28,IT,200,200,1,0,0,0,0,0,fresh
2026-06-22,IT,200,200,1,0,0,0,0,0,fresh
2026-06-17,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-13,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-03,IT,200,200,1,0,0,0,0,0,fresh
2026-06-14,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-02,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-15,IT,200,200,1,0,0,0,0,0,fresh
2026-07-04,IT,200,200,1,0,0,0,0,0,fresh
2026-07-14,IT,200,200,1,0,0,0,0,0,fresh
2026-06-04,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-27,IT,200,200,1,0,0,0,0,0,fresh
2026-06-01,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-06,IT,200,200,1,0,0,0,0,0,fresh
2026-06-08,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-18,IT,200,200,1,0,0,0,0,0,fresh
2026-06-09,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-02,IT,200,200,1,0,0,0,0,0,fresh
2026-06-30,IT,200,200,1,0,0,0,0,0,fresh
2026-07-08,IT,200,200,1,0,0,0,0,0,fresh
2026-06-05,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-20,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-13,IT,200,200,1,0,0,0,0,0,fresh
2026-06-21,IT,200,200,1,0,0,0,0,0,fresh
2026-07-11,IT,200,200,1,0,0,0,0,0,fresh
2026-06-12,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-11,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-16,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-01,IT,200,200,1,0,0,0,0,0,fresh
2026-06-18,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-24,IT,200,200,1,0,0,0,0,0,fresh
2026-06-19,IT,200,200,1,0,0,0,0,0,fresh
2026-06-15,IT,200,199,0.995,0,0,0,0,0,fresh
2026-07-07,IT,200,200,1,0,0,0,0,0,fresh
2026-07-16,IT,200,200,1,0,0,0,0,0,fresh
2026-07-09,IT,200,200,1,0,0,0,0,0,fresh
2026-06-03,IT,200,199,0.995,0,0,0,0,0,fresh
2026-06-26,IT,200,200,1,0,0,0,0,0,fresh
