chart_date,country,release_cohort_month,chart_tracks,streams,average_rank,average_days_since_release
2026-07-02,IT,1999-01-01,1,58114,135.0,10044.0
2026-07-02,IT,2005-05-01,1,48646,200.0,7706.0
2026-07-02,IT,2011-04-01,1,67399,101.0,5543.0
2026-07-02,IT,2013-01-01,1,96258,49.0,4930.0
2026-07-02,IT,2023-05-01,1,53165,163.0,1140.0
2026-07-02,IT,2023-02-01,1,59242,127.0,1238.0
2026-07-02,IT,2025-11-01,1,110587,35.0,237.0
2026-07-02,IT,2018-11-01,1,52221,168.0,2771.0
2026-07-02,IT,2020-09-01,1,58782,130.0,2106.0
2026-07-02,IT,1983-06-01,1,57068,142.0,15721.0
2026-07-02,IT,2025-12-01,1,52905,165.0,210.0
2026-07-02,IT,2022-05-01,1,87691,58.0,1518.0
2026-07-02,IT,2022-07-01,1,49685,191.0,1457.0
2026-07-02,IT,2016-09-01,1,50735,181.0,3583.0
2026-07-02,IT,2013-06-01,1,65629,107.0,4776.0
2026-07-02,IT,2024-05-01,1,49946,187.0,776.0
2026-07-02,IT,2024-09-01,1,68936,94.0,657.0
2026-07-02,IT,2020-10-01,1,48794,199.0,2071.0
2026-07-02,IT,2018-01-01,1,50971,177.0,3086.0
2026-07-02,IT,2022-06-01,1,72702,83.0,1490.0
2026-07-02,IT,2017-11-01,1,50239,186.0,3142.0
2026-07-02,IT,2016-01-01,1,63291,113.0,3814.0
2026-07-02,IT,2022-09-01,1,68000,98.0,1385.0
2026-07-02,IT,1993-01-01,1,69398,90.0,12235.0
2026-07-02,IT,2017-05-01,1,80353,64.0,3345.0
2026-07-02,IT,2017-03-01,1,48896,198.0,3394.0
2026-07-02,IT,2011-12-01,1,51620,173.0,5309.0
2026-07-02,IT,1996-06-01,1,61891,117.0,10988.0
2026-07-02,IT,2018-10-01,1,71649,86.0,2816.0
2026-07-02,IT,2016-04-01,1,48910,197.0,3723.0
2026-07-02,IT,2000-10-01,1,50601,182.0,9382.0
2026-07-02,IT,2005-11-01,1,51627,172.0,7521.0
2026-07-02,IT,2014-08-01,1,59188,128.0,4349.0
2026-07-02,IT,2016-10-01,1,52169,169.0,3541.0
